gameId,game,leakTitle,unitsFeb2022,note
e336cbc0-27ea-456f-9bbb-d8b59c3b0a35,Marvel's Spider-Man,Spider-Man (PS4),22685000,
fe35c494-dddf-47e4-a54f-b38809fd09c2,God of War,God of War (PS4),21023000,
d2fbfc5a-7656-4643-8b25-8af022764639,Horizon Zero Dawn™ Complete Edition,Horizon Zero Dawn (PS4),19297000,
4f4e433b-2bb7-417a-9737-8ddaf5c2c078,Uncharted 4: A Thief's End,Uncharted 4 (PS4),18652000,
0a593754-ad0b-4ba2-a32e-e79ab5110272,The Last of Us,The Last of Us Remastered (PS4),18632000,PS4 remaster SKU
463535ec-e68d-4fd3-be2a-e288385e0ab8,Gran Turismo Sport,Gran Turismo Sport (PS4),12977000,
0ad77b77-45d6-48c4-a30e-04b4f8283442,The Last of Us Part II,The Last of Us 2 (PS4),10302000,
5d74e891-7571-4793-bfe3-498baba330d4,Ghost of Tsushima,Ghost of Tsushima (PS4) + Director's Cut (PS5/PS4),9460000,SKU-aggregated: 7603000 base + 1857000 DC
ebe9e400-5baa-41e6-8c36-47b0bf2e3c90,Bloodborne,Bloodborne (PS4),7648000,
692b720c-8de7-423d-b519-59ed8d6f6111,Days Gone,Days Gone (PS4),7238000,
7dd0c2a8-3dc3-4395-b37a-8d52cdea1514,God of War III,God of War 3 Remastered (PS4),5621000,PS4 remaster SKU
c28a0370-0c19-4a78-b45b-a04eb9e6a4fe,LittleBigPlanet 3,LittleBigPlanet 3 (PS4),5542000,
c961aad0-aa06-468d-a29b-ab8d3a61e511,Detroit: Become Human,Detroit: Become Human (PS4),5346000,
7daed57f-c844-44a3-bc9f-677b64fc3247,Infamous: Second Son,inFAMOUS Second Son (PS4),5303000,
8c98f681-7e83-4262-9be2-33af7ccf5bfe,Driveclub,Driveclub (PS4),4971000,
66c8a157-a1ba-4664-96e4-49573e733760,DEATH STRANDING,Death Stranding (PS4) + Director's Cut (PS5),4720000,SKU-aggregated: 4385000 base + 335000 DC
25505c5f-b788-4087-a7f9-999916fa101d,Until Dawn,Until Dawn (PS4),4039000,
5d8f4335-9097-42df-958f-a9a7b07138ef,Ratchet & Clank: Rift Apart,Ratchet & Clank Rift Apart (PS5),2724000,
061194d2-78e5-4826-b6fc-36720b6d527b,Sackboy™: A Big Adventure,Sackboy: A Big Adventure (PS5/PS4),1555000,
802751bc-440c-4b9c-a3ac-479903b49955,Returnal™,Returnal (PS5),1016000,
